"000L", "000L", 43.0, 42.0, -54.0, -56.0, null
"000M", "000M", 44.0, 43.0, -54.0, -56.0, null
"000N", "000N", 44.0, 43.0, -52.0, -54.0, null
"000O", "000O", 44.0, 43.0, -50.0, -52.0, null
"001A", "001A", 45.0, 44.0, -48.0, -50.0, null
"001B", "001B", 45.0, 44.0, -50.0, -52.0, null
"001C", "001C", 45.0, 44.0, -52.0, -54.0, null
"001D", "001D", 45.0, 44.0, -54.0, -56.0, null
"001E", "001E", 46.0, 45.0, -54.0, -56.0, null
"001F", "001F", 46.0, 45.0, -52.0, -54.0, null
"001G", "001G", 46.0, 45.0, -50.0, -52.0, null
"001H", "001H", 46.0, 45.0, -48.0, -50.0, null
"001I", "001I", 47.0, 46.0, -48.0, -50.0, null
"001J", "001J", 47.0, 46.0, -50.0, -52.0, null
"001K", "001K", 47.0, 46.0, -52.0, -54.0, null
"001L", "001L", 47.0, 46.0, -54.0, -56.0, null
"001M", "001M", 48.0, 47.0, -54.0, -56.0, null
"001N", "001N", 48.0, 47.0, -52.0, -54.0, null
"001O", "001O", 48.0, 47.0, -50.0, -52.0, null
"001P", "001P", 48.0, 47.0, -48.0, -50.0, null
"002A", "002A", 49.0, 48.0, -48.0, -50.0, null
"002B", "002B", 49.0, 48.0, -50.0, -52.0, null
"002C", "002C", 49.0, 48.0, -52.0, -54.0, null
"002D", "002D", 49.0, 48.0, -54.0, -56.0, null
"002E", "002E", 50.0, 49.0, -54.0, -56.0, null
"002F", "002F", 50.0, 49.0, -52.0, -54.0, null
"002G", "002G", 50.0, 49.0, -50.0, -52.0, null
"002H", "002H", 50.0, 49.0, -48.0, -50.0, null
"002I", "002I", 51.0, 50.0, -48.0, -50.0, null
"002J", "002J", 51.0, 50.0, -50.0, -52.0, null
"002K", "002K", 51.0, 50.0, -52.0, -54.0, null
"002L", "002L", 51.0, 50.0, -54.0, -56.0, null
"002M", "002M", 52.0, 51.0, -54.0, -56.0, null
"002N", "002N", 52.0, 51.0, -52.0, -54.0, null
"002O", "002O", 52.0, 51.0, -50.0, -52.0, null
"002P", "002P", 52.0, 51.0, -48.0, -50.0, null
"003A", "003A", 53.0, 52.0, -48.0, -50.0, null
"003B", "003B", 53.0, 52.0, -50.0, -52.0, null
"003C", "003C", 53.0, 52.0, -52.0, -54.0, null
"003D", "003D", 53.0, 52.0, -54.0, -56.0, null
"003E", "003E", 54.0, 53.0, -54.0, -56.0, null
"003F", "003F", 54.0, 53.0, -52.0, -54.0, null
"003G", "003G", 54.0, 53.0, -50.0, -52.0, null
"003J", "003J", 55.0, 54.0, -50.0, -52.0, null
"003K", "003K", 55.0, 54.0, -52.0, -54.0, null
"003L", "003L", 55.0, 54.0, -54.0, -56.0, null
"003M", "003M", 56.0, 55.0, -54.0, -56.0, null
"003N", "003N", 56.0, 55.0, -52.0, -54.0, null
"003O", "003O", 56.0, 55.0, -50.0, -52.0, null
